Date,IEF,SHV,XLP,IEI,TLH,ICF,GLD,HYG,IYZ,SHY,XLE,TIP,TLT,XLI,XLU,XLK,XLV,XLB,XLY,XLF
2021-05-05,113.1236343383789,110.4117431640625,68.08309936523438,129.5515594482422,140.939453125,59.58888626098633,167.27000427246094,83.42984008789062,32.13322067260742,85.94086456298828,50.131980895996094,119.29012298583984,137.22032165527344,102.14494323730469,63.423545837402344,135.48391723632812,121.30520629882812,84.78260040283203,174.60769653320312,36.40734100341797
2021-05-06,113.17305755615234,110.4117431640625,68.96170806884766,129.5515594482422,141.2633819580078,59.90190124511719,170.05999755859375,83.40118408203125,32.755271911621094,85.94086456298828,50.390193939208984,119.14994049072266,137.44625854492188,102.8553237915039,63.90888214111328,136.84396362304688,121.46292114257812,85.49992370605469,174.9853973388672,36.94809341430664
2021-05-07,113.21263122558594,110.4117431640625,68.96170806884766,129.72015380859375,140.7627410888672,60.59638977050781,171.58999633789062,83.45851135253906,32.901065826416016,85.97073364257812,51.28916931152344,119.40223693847656,136.76844787597656,103.94059753417969,64.10302734375,138.0153350830078,122.30079650878906,86.34500122070312,176.5559539794922,37.14472961425781
2021-05-10,112.98519134521484,110.4017562866211,69.48888397216797,129.6209716796875,139.9578399658203,60.77245330810547,172.11000061035156,83.26736450195312,32.97882843017578,85.94086456298828,51.30829620361328,119.45832061767578,135.38340759277344,104.03925323486328,64.75336456298828,134.53094482421875,122.45852661132812,85.96177673339844,173.41488647460938,37.115234375
2021-05-11,112.79730987548828,110.4017562866211,68.88361358642578,129.52178955078125,139.2609100341797,60.08775329589844,172.13999938964844,83.18135833740234,32.774715423583984,85.93089294433594,49.98853302001953,119.14058685302734,134.61715698242188,102.50012969970703,63.95742416381836,134.1239471435547,121.13762664794922,86.24673461914062,171.45668029785156,36.45650100708008
2021-05-12,112.25344848632812,110.4017562866211,67.96595001220703,129.19456481933594,137.99462890625,58.747684478759766,170.42999267578125,82.77997589111328,32.094337463378906,85.92093658447266,50.22761535644531,118.93498992919922,133.2026824951172,100.04344177246094,62.46259307861328,130.35165405273438,119.99417877197266,84.0750961303711,165.65167236328125,36.082889556884766
2021-05-13,112.62920379638672,110.4117431640625,68.92266082763672,129.39291381835938,138.2891082763672,59.422611236572266,171.1300048828125,83.07623291015625,32.46368408203125,85.94086456298828,49.61555480957031,118.96304321289062,133.408935546875,101.91802215576172,63.666221618652344,132.07896423339844,121.07848358154297,85.36236572265625,166.82460021972656,36.66297149658203
2021-05-14,112.87642669677734,110.4017562866211,69.22530364990234,129.4722442626953,139.08421325683594,60.06818771362305,172.69000244140625,83.34381866455078,32.74555206298828,85.94086456298828,51.155277252197266,119.38356018066406,134.65650939941406,103.32890319824219,63.976844787597656,134.9875946044922,121.68963623046875,86.38431549072266,169.7171630859375,37.24304962158203
2021-05-17,112.76764678955078,110.4017562866211,69.12767791748047,129.4127655029297,138.14186096191406,60.08775329589844,174.6999969482422,83.19092559814453,32.45396423339844,85.94086456298828,52.341156005859375,119.61719512939453,134.37161254882812,103.01316833496094,63.45267868041992,133.99488830566406,121.46292114257812,87.14094543457031,169.4090118408203,37.31187057495117
2021-05-18,112.76764678955078,110.4017562866211,68.91289520263672,129.4623260498047,138.55410766601562,60.234474182128906,175.0399932861328,82.99022674560547,31.822185516357422,85.9508285522461,51.1265869140625,119.43964385986328,134.02783203125,101.51351165771484,63.44297409057617,132.9227752685547,121.50234985351562,86.17794799804688,168.08700561523438,36.79077911376953
